Word,ACT_R_activation,Location_fan,List
plantenkas,127.82462654738895,True,1
terras,120.88535770780459,True,1
tram,122.89342814700753,True,1
metro,128.20371008364842,True,1
afgrond,129.2286790315446,True,1
bus,121.22627617792502,True,1
trein,120.01132315347989,True,1
tempel,126.69571606315935,True,1
filmhuis,132.84047926559163,True,1
synagoge,126.23917667311005,True,1
boetiek,125.82206847491165,True,1
supermarkt,127.0376621104482,True,1
warenhuis,123.54656189776921,True,1
greppel,126.52252826635548,True,1
cinema,130.32567587515067,True,1
plaatsje,122.32733525567217,True,1
theater,120.91953200522532,True,1
camper,135.76243198713254,True,1
bioscoop,119.95160615704951,True,1
gehucht,122.79598465141189,True,1
dorp,115.18398444460617,True,1
stadje,119.24004333601883,True,1
winkel,130.02818159043264,True,1
caravan,129.32227006796003,True,1
gieterij,131.30131421977376,True,3
metro,131.18909853793954,True,3
tent,124.58416703270018,True,3
basiliek,118.66162731940541,True,3
universiteit,130.9624781103156,True,3
hut,125.75828687387644,True,3
duinen,135.99230571047684,True,3
theater,119.94079993658481,True,3
afgrond,130.04514974659782,True,3
cinema,125.10572254879365,True,3
tram,122.51851415637438,True,3
crypte,123.63049605060533,True,3
campus,128.92470038104832,True,3
fabriek,125.3291418013164,True,3
kapel,120.21828641037786,True,3
firma,135.3252921986118,True,3
bus,124.52868904232689,True,3
sacristie,124.33894828091732,True,3
montagehal,118.4495005160809,True,3
woud,133.54765114340978,True,3
trein,121.82585597750196,True,3
bioscoop,118.30933196784497,True,3
filmhuis,132.54235972912363,True,3
kloof,131.7998508689549,True,3
supermarkt,132.19834846279355,True,5
park,123.18475994954181,True,5
serre,122.71987262305774,True,5
campus,131.96727912018056,True,5
luchtballon,125.00627570447264,True,5
vliegtuig,127.83512257009491,True,5
plantenkas,121.66526104659295,True,5
bioscoop,122.16734699319366,True,5
helikopter,121.49674035935746,True,5
crypte,125.92821825532022,True,5
gehucht,124.74685166040221,True,5
universiteit,135.73137685362838,True,5
plaatsje,124.02945542458895,True,5
theater,123.424425290536,True,5
kapel,124.55945637296196,True,5
terras,119.58016596273647,True,5
straaljager,135.09998353659606,True,5
basiliek,119.75110258172711,True,5
stadje,119.00127787216454,True,5
winkel,129.2294038383061,True,5
dorp,115.43026225852303,True,5
duinen,130.44098387922625,True,5
tuin,119.69048773947716,True,5
sacristie,128.2152297149225,True,5
winkel,126.66241989166863,True,7
stadje,122.82942836357236,True,7
serre,121.6395498654461,True,7
crypte,128.1694976089063,True,7
firma,134.0813730854319,True,7
trein,122.73373141214896,True,7
warenhuis,125.91787376795222,True,7
supermarkt,128.54902500269043,True,7
metro,131.39055783004727,True,7
bus,123.30016784790863,True,7
tuin,120.17433719621391,True,7
kapel,125.19661643569322,True,7
boetiek,124.1396109574637,True,7
plantenkas,122.59916572205861,True,7
montagehal,121.92069814573586,True,7
kiepwagen,132.11465139285033,True,7
duinen,130.8454344778908,True,7
sacristie,128.45044913562927,True,7
plaatsje,127.80325321395145,True,7
terras,120.32564916521176,True,7
park,124.38073821714787,True,7
graafmachine,126.50236290160927,True,7
tram,123.3573262617486,True,7
basiliek,119.60450239569354,True,7
camper,133.59450213807415,True,9
tent,118.93950684700013,True,9
metro,129.72078221195758,True,9
plaatsje,123.11396075801669,True,9
theater,120.68342945025063,True,9
cinema,131.27456755346165,True,9
warenhuis,125.69970088514731,True,9
greppel,126.56177069013833,True,9
afgrond,128.90715573416333,True,9
bioscoop,120.24146005968626,True,9
basiliek,123.80546185162125,True,9
supermarkt,131.3200434927572,True,9
crypte,131.46571550428973,True,9
caravan,126.59994156724353,True,9
gehucht,123.58396458172035,True,9
dorp,115.33287463605845,True,9
filmhuis,133.01612250973275,True,9
tram,121.98318969701126,True,9
firma,136.8389812517017,True,9
stadje,119.00541767085271,True,9
trein,119.33731152511379,True,9
gieterij,140.08417134083527,True,9
bus,120.58513253812507,True,9
hut,119.74003678859867,True,9
huis,114.53091489673707,True,11
tent,122.4442287144352,True,11
campus,126.55156001624296,True,11
plaatsje,125.45598014162194,True,11
appartement,121.06145070254884,True,11
bus,123.54593385838932,True,11
bioscoop,124.14910552256669,True,11
stadje,117.58927062356207,True,11
woning,127.42291017831668,True,11
theater,122.44299266890854,True,11
caravan,132.2751809733064,True,11
pand,118.7008905358083,True,11
heiligdom,124.44961377472286,True,11
tram,125.93367675972367,True,11
tempel,120.93082114527661,True,11
universiteit,128.4010077035553,True,11
moskee,125.0703481832564,True,11
synagoge,121.78237526815904,True,11
faculteit,130.2699056618875,True,11
dorp,115.21134907942927,True,11
hogeschool,134.28821906723917,True,11
boetiek,126.79585870584913,True,11
gehucht,123.84189384966335,True,11
warenhuis,126.44933613337443,True,11
ravijn,133.00049746426288,True,13
bulldozer,136.45635603597228,True,13
kapel,122.02871564463427,True,13
dorp,118.19526100855414,True,13
greppel,125.56012462879626,True,13
sacristie,125.1194503583379,True,13
firma,135.11790469297065,True,13
plaatsje,125.56763941488855,True,13
tuin,121.93231310371485,True,13
gehucht,124.06016661472367,True,13
truck,133.62667401871667,True,13
stadje,123.01770962640403,True,13
faculteit,130.0025089553146,True,13
terras,122.29563936696007,True,13
fabriek,124.42791050598984,True,13
universiteit,130.3094891618411,True,13
boetiek,127.03172459099545,True,13
crypte,124.69018085169697,True,13
plantenkas,122.19092683447738,True,13
hogeschool,135.35714977852723,True,13
campus,128.00878967594252,True,13
serre,121.34229900980314,True,13
basiliek,119.10801450720231,True,13
winkel,125.055084982383,True,13
universiteit,125.63809584793493,True,15
firma,136.20623285326877,True,15
hogeschool,132.35861122302316,True,15
afgrond,130.70188345015438,True,15
campus,125.4134048892324,True,15
tent,125.62885405513782,True,15
stadje,121.00759973711237,True,15
greppel,129.06198973555837,True,15
hut,125.32293365086491,True,15
trein,122.33071157440375,True,15
gehucht,125.6811749266938,True,15
faculteit,128.04537278387716,True,15
dorp,117.82718183946955,True,15
gieterij,130.81052294625417,True,15
bioscoop,121.87738356729598,True,15
fabriek,123.5398110239957,True,15
tram,119.75563193156555,True,15
plaatsje,125.58053977871158,True,15
tempel,123.10817024816843,True,15
cinema,128.84091957921194,True,15
bus,121.5882697364529,True,15
montagehal,120.89791116688613,True,15
moskee,128.92130410879957,True,15
metro,129.14196282716452,True,15
campus,126.61962751442626,True,17
boetiek,127.14936744570115,True,17
tempel,124.26970574589076,True,17
gieterij,128.44913645657243,True,17
afgrond,131.7926311395464,True,17
trein,119.74975162635018,True,17
camper,130.92048615309864,True,17
caravan,124.51758715968788,True,17
tram,121.03583261092517,True,17
duinen,134.57051894887746,True,17
firma,130.60022041780917,True,17
universiteit,131.6801374114148,True,17
tent,122.38415920155379,True,17
hut,123.3981448610131,True,17
warenhuis,127.79971310588505,True,17
montagehal,121.52860769074235,True,17
fabriek,124.08538420259566,True,17
kloof,137.2591423425344,True,17
metro,131.39219380144957,True,17
winkel,124.35784152244163,True,17
supermarkt,127.98502760200815,True,17
heiligdom,127.8550520333351,True,17
bus,120.55481672311412,True,17
bos,126.70225929903759,True,17
gieterij,129.43621225428032,True,19
dorp,117.8031396863588,True,19
sacristie,125.16121792146538,True,19
helikopter,122.1162954037206,True,19
vliegtuig,126.16950818795448,True,19
woning,127.1710866461569,True,19
kapel,119.98359352111055,True,19
straaljager,133.59162337887528,True,19
plaatsje,127.47926362699859,True,19
universiteit,125.98317508035744,True,19
basiliek,121.02995921719923,True,19
luchtballon,123.13884245325882,True,19
fabriek,124.77151958715737,True,19
crypte,123.85026915641956,True,19
bioscoop,122.99435514320805,True,19
huis,119.10651038844533,True,19
hut,123.0233228458396,True,19
hogeschool,132.85070001508294,True,19
campus,127.9413197670811,True,19
faculteit,127.58098840265565,True,19
gehucht,127.96092184841129,True,19
stadje,121.90674753833606,True,19
cinema,130.24084766544226,True,19
caravan,130.77833103550398,True,19
warenhuis,127.94977540693286,True,21
faculteit,129.69302465359135,True,21
terras,124.61209708609002,True,21
serre,124.98070797297771,True,21
vliegtuig,126.4004235408343,True,21
moskee,127.43375591409914,True,21
hogeschool,134.85786177710185,True,21
plaatsje,131.63199887883115,True,21
camper,133.8814401089811,True,21
boetiek,126.14663270966611,True,21
helikopter,125.10607579189075,True,21
gieterij,126.52096280141465,True,21
supermarkt,129.39343285785174,True,21
straaljager,132.10510348021302,True,21
campus,124.40929092088798,True,21
synagoge,124.95215032439194,True,21
fabriek,124.38948829359181,True,21
caravan,127.46503467726434,True,21
heiligdom,123.3004663399323,True,21
luchtballon,123.09409248145182,True,21
winkel,125.46592273321518,True,21
universiteit,126.9287309517963,True,21
tempel,119.88743450062313,True,21
dorp,120.81359570287076,True,21
plantenkas,122.4476685738758,True,23
ravijn,133.63460908154067,True,23
cinema,125.54106198058466,True,23
hogeschool,132.46964006768204,True,23
bus,128.04037067622704,True,23
kapel,120.16806926001729,True,23
tuin,122.36591756035818,True,23
fabriek,123.02993194123962,True,23
gieterij,128.43110669322738,True,23
universiteit,131.6694519479976,True,23
firma,133.53886436575684,True,23
serre,124.05784147418304,True,23
terras,123.89984792028413,True,23
montagehal,120.23373256181307,True,23
greppel,132.34149895651748,True,23
bioscoop,119.35717818364144,True,23
theater,121.59914843438555,True,23
winkel,126.0220687234604,True,23
supermarkt,133.96594967058292,True,23
basiliek,117.39654948496641,True,23
filmhuis,134.28620785717885,True,23
sacristie,123.09831643453923,True,23
trein,127.49106643570114,True,23
crypte,122.66464789060288,True,23
bioscoop,119.30145714029712,True,25
filmhuis,134.00636461188478,True,25
metro,130.21729800088698,True,25
bus,122.27364761081016,True,25
gehucht,126.48274212188207,True,25
trein,122.30462497352107,True,25
universiteit,129.7105289201515,True,25
dorp,120.8288866018,True,25
boetiek,126.55084353407054,True,25
hut,124.0328245722471,True,25
tram,119.52800128655203,True,25
gieterij,130.83865235005518,True,25
stadje,122.94509344303414,True,25
theater,121.04951724332957,True,25
cinema,127.60147631305169,True,25
hogeschool,131.77674812859217,True,25
firma,133.36027658277837,True,25
montagehal,120.69210539454957,True,25
camper,137.9251840049667,True,25
basiliek,121.34241645205867,True,25
plaatsje,127.29130807634559,True,25
fabriek,122.9746010045852,True,25
crypte,129.35644875248875,True,25
winkel,128.96372437790913,True,25
straaljager,133.4242544102613,True,27
kapel,123.18441574618967,True,27
tent,121.7260027101108,True,27
hogeschool,129.08833061960772,True,27
universiteit,127.19681473707612,True,27
tram,121.39614421517483,True,27
filmhuis,134.99576204576576,True,27
faculteit,127.2839436412102,True,27
luchtballon,124.14780144210594,True,27
boetiek,129.01233704035852,True,27
afgrond,133.921434532798,True,27
metro,130.1748947907185,True,27
caravan,127.7992244706184,True,27
hut,125.63020280869502,True,27
warenhuis,131.83934344304822,True,27
trein,119.36172404811143,True,27
basiliek,119.95633412775196,True,27
sacristie,127.31822892471882,True,27
crypte,124.88337794539802,True,27
camper,134.07932438837005,True,27
bus,120.75045051419994,True,27
bioscoop,121.29348958872599,True,27
campus,127.86405604730021,True,27
kloof,133.46268128570486,True,27
moskee,128.2103553145374,True,29
bos,131.89863202218933,True,29
faculteit,127.3678457040214,True,29
tent,125.25392193080823,True,29
campus,123.49114798893504,True,29
gieterij,126.21690582349996,True,29
camper,135.64161183198993,True,29
tram,123.68301297084902,True,29
metro,131.54356345861945,True,29
synagoge,122.94357652615776,True,29
supermarkt,134.35353086091382,True,29
theater,122.0887617257297,True,29
caravan,128.20539919535818,True,29
boetiek,127.82480743297168,True,29
hut,126.40187024688774,True,29
hogeschool,129.4529790255131,True,29
firma,131.9632715209591,True,29
universiteit,125.66000456203906,True,29
bioscoop,120.54805566768444,True,29
cinema,123.31227614025372,True,29
park,122.9869528004831,True,29
filmhuis,134.18424934724106,True,29
montagehal,121.0032702849988,True,29
fabriek,123.54664267293717,True,29
kloof,137.02499123179692,True,31
kapel,127.24632913387443,True,31
bus,124.55573660391437,True,31
gieterij,126.44117769394036,True,31
firma,129.03983600256754,True,31
universiteit,130.6146106158934,True,31
basiliek,122.77487812838315,True,31
kiepwagen,134.05068135863286,True,31
faculteit,131.02824064721753,True,31
afgrond,133.63992312633502,True,31
metro,131.25973853506198,True,31
plantenkas,125.3624257702603,True,31
boetiek,123.54538828727485,True,31
supermarkt,127.968522397244,True,31
warenhuis,125.68153162717627,True,31
graafmachine,126.15664621446645,True,31
terras,124.44020460565169,True,31
tuin,122.38143788489013,True,31
fabriek,122.5291962529906,True,31
montagehal,120.15336084407114,True,31
trein,123.75300149218589,True,31
winkel,122.78235472388859,True,31
tram,121.83057488806429,True,31
serre,123.62160723201757,True,31
tuin,120.43359219826655,True,33
tent,121.97167317191884,True,33
synagoge,124.14663476091411,True,33
universiteit,128.49529869336683,True,33
kiepwagen,131.4287950300354,True,33
trein,121.277405894583,True,33
bulldozer,133.26997353546713,True,33
terras,124.29191269784938,True,33
heiligdom,125.21209507016502,True,33
serre,126.9082345761208,True,33
faculteit,130.5969238177245,True,33
montagehal,121.16843991356751,True,33
greppel,127.51384729574414,True,33
plantenkas,123.915266449883,True,33
fabriek,126.9559460135348,True,33
metro,132.5958920773621,True,33
tram,121.7702884651262,True,33
tempel,122.70053086853923,True,33
hut,121.86266582088287,True,33
bus,120.34332095197581,True,33
campus,127.15425264170207,True,33
moskee,126.90442927967044,True,33
ravijn,128.79868151146346,True,33
hogeschool,134.98541479770458,True,33
plaatsje,126.17851488599919,True,35
warenhuis,127.20122593578478,True,35
plantenkas,123.56926613729233,True,35
vliegtuig,129.28223849323703,True,35
hogeschool,139.18308627726975,True,35
firma,132.5236423265759,True,35
faculteit,133.58267501284908,True,35
campus,126.83445687848926,True,35
synagoge,125.67820089758735,True,35
helikopter,125.29639678882945,True,35
fabriek,124.91744192594054,True,35
serre,123.4273907976902,True,35
dorp,115.96393116293336,True,35
camper,131.91653011064128,True,35
gehucht,124.49981550938985,True,35
heiligdom,126.5023709545437,True,35
hut,119.58252020081645,True,35
caravan,125.87193717700606,True,35
stadje,120.8695477632859,True,35
winkel,125.36544958113994,True,35
universiteit,129.88506187876638,True,35
boetiek,125.72421289116501,True,35
supermarkt,127.91139590388431,True,35
tent,121.70278373701653,True,35
theater,121.91704962583941,True,37
luchtballon,125.89891974028235,True,37
firma,133.99603215129963,True,37
gehucht,129.93691567592955,True,37
filmhuis,133.2164569722193,True,37
helikopter,125.12662731677142,True,37
supermarkt,131.13788796533615,True,37
afgrond,131.4797082428869,True,37
greppel,131.01038225204528,True,37
plaatsje,129.20671509594442,True,37
sacristie,129.52037662380846,True,37
cinema,126.48163453171243,True,37
bioscoop,118.61943675489175,True,37
boetiek,124.26221122133903,True,37
faculteit,127.67721223947379,True,37
hogeschool,130.2036609005366,True,37
fabriek,124.71094319607832,True,37
straaljager,133.90618477265517,True,37
crypte,128.74735541230646,True,37
vliegtuig,127.44889151272068,True,37
winkel,128.86204609211904,True,37
warenhuis,125.97188143481985,True,37
campus,127.93088796813544,True,37
universiteit,127.56603775395055,True,37
serre,126.62478128966518,True,39
metro,130.45971835472903,True,39
appartement,124.18582589875928,True,39
synagoge,126.10803887644443,True,39
moskee,127.47937035734944,True,39
tram,123.00892298576501,True,39
bulldozer,129.8786281532963,True,39
dorp,116.89758149773917,True,39
plaatsje,125.79671729982137,True,39
hogeschool,134.27590000122134,True,39
bioscoop,123.78606395366944,True,39
campus,128.76611243904387,True,39
truck,125.79044538005024,True,39
universiteit,130.4133714842768,True,39
bus,120.7891316338164,True,39
plantenkas,128.7444249195255,True,39
stadje,120.80811206203087,True,39
filmhuis,137.38879936570274,True,39
graafmachine,126.74276193418116,True,39
kiepwagen,131.0560493423825,True,39
woning,124.77651692894742,True,39
trein,122.24808067291993,True,39
faculteit,132.1253546154655,True,39
gehucht,125.05477995509199,True,39
duinen,135.48749189995254,True,41
tram,124.31759830232971,True,41
campus,124.40672222125349,True,41
hogeschool,132.16651327477908,True,41
universiteit,127.83817884596867,True,41
park,121.0416187420443,True,41
cinema,126.18600902922593,True,41
moskee,124.0081563356056,True,41
filmhuis,134.7868078137391,True,41
tuin,122.34600009069001,True,41
gehucht,127.96591697347945,True,41
dorp,120.42642240770971,True,41
tempel,120.63020770966773,True,41
serre,126.34424070671206,True,41
heiligdom,124.4461136549515,True,41
bus,124.61778369959607,True,41
metro,130.50412963700347,True,41
trein,126.299466430426,True,41
firma,136.48100350154047,True,41
synagoge,122.04251541359274,True,41
fabriek,125.45000898424502,True,41
faculteit,128.52479223436657,True,41
terras,124.16228360150666,True,41
plantenkas,125.61270363660049,True,41
huis,117.89582156234579,True,43
warenhuis,123.51301819777319,True,43
hogeschool,132.33271313713152,True,43
pand,120.22987506355159,True,43
universiteit,130.05510403020767,True,43
fabriek,122.90583675564434,True,43
bioscoop,120.13417791767023,True,43
tempel,121.44844647284074,True,43
filmhuis,131.5816875259771,True,43
cinema,125.46231364469317,True,43
winkel,124.1049423624573,True,43
montagehal,122.09509452175823,True,43
trein,126.72199132718276,True,43
