Lists,Fan2,Fan4,Fan2greater,Training
1,127.81009829305694,123.8971157891468,True,False
3,130.2018237334225,124.57593616834868,True,False
5,128.5429905484258,123.42223523018724,True,False
7,127.55974247477373,124.51315503103007,True,False
9,130.58537509383177,123.54701253330649,True,False
11,125.50453916706917,123.4724069267517,True,False
13,130.03453461501087,124.57664086956392,True,False
15,126.68292979939892,125.36393969287789,True,False
17,130.09363430438285,125.36926691130924,True,False
19,125.94027319575423,125.28422282533036,True,False
21,126.7869156902527,126.69526089902999,True,False
23,130.70433194496366,123.88225566354089,True,False
25,128.70733984281057,125.10600329721022,True,False
27,130.26213797359605,125.48084185845323,True,False
29,127.9305539233402,126.52113835430353,True,False
31,130.31703755707497,124.70913092757498,True,False
33,126.62125278657678,125.7332183275596,True,False
35,126.39961854021206,126.39207155665233,True,False
37,129.82605358128737,127.26418917517519,True,False
39,127.38672769875792,126.50697923823947,True,False
41,128.47815991899208,125.51671286219062,True,False
43,128.52410741355362,124.6370919846577,True,False
45,128.21453246686474,124.71325602006348,True,False
47,130.0665066704308,125.4041002601443,True,False
49,131.37094670679627,125.51647742562812,True,False
51,128.3437902643536,124.95329664678388,True,False
53,128.5787193472799,125.43342100368719,True,False
55,128.27811434762322,124.45237888383562,True,False
57,126.40966552335229,126.06077553107504,True,False
59,130.8630400364222,124.76152618283224,True,False
61,127.45941090597708,125.14868882670278,True,False
63,127.43812297723674,126.0960470495813,True,False
65,128.58869937723472,125.22295280324941,True,False
67,129.0621806855056,124.72899653662007,True,False
69,130.67808508149204,125.34920081035665,True,False
71,130.75483527282546,126.41989746607445,True,False
73,126.26582419286973,126.85574924943373,False,False
75,132.0344431935539,122.86691164776074,True,False
77,126.40580095404412,126.98975227121227,False,False
79,129.46498320405243,124.89718100311173,True,False
81,129.48711969466166,123.75303930805117,True,False
83,128.70948820790144,123.10114432733666,True,False
85,126.97699978763826,125.35333001754199,True,False
87,129.25813515865525,124.37679209502767,True,False
89,126.84871438860246,127.01515177446535,False,False
91,128.63972226828508,124.56320079546111,True,False
93,129.3360128380798,125.1113759542179,True,False
95,129.86778642884008,123.07441517487332,True,False
97,128.04852101087238,127.87669157279682,True,False
99,126.89316150881945,126.24859074068507,True,False
mean,128.58487081193633,125.176223350021,True,False
std,1.5840746048183891,1.1462265017894224,True,False
