Lists,Fan2,Fan4,Fan2greater,Training
2,125.89479960488472,122.31350296504685,True,False
4,122.9675392441418,122.76437796942965,True,False
6,125.14328731677581,121.19193333312349,True,False
8,126.82624493283627,121.63756166741732,True,False
10,123.83531713536448,123.24585710634699,True,False
12,124.37764524012123,123.30895963104008,True,False
14,127.22921862441842,121.21405594822397,True,False
16,127.02912857098315,125.06630207648381,True,False
18,124.24958846419145,122.57505886613644,True,False
20,124.9943135038501,122.02400254282867,True,False
22,125.8171367404272,121.7477991243145,True,False
24,123.38573923546024,124.31624227476271,False,False
26,127.12887954133204,121.22738994389678,True,False
28,124.54013798074422,122.1809011799445,True,False
30,123.70940483025757,121.78586021734915,True,False
32,124.11851279728356,121.64362833599621,True,False
34,126.28955837206561,121.63684837147588,True,False
36,125.86987184554089,121.66899213105722,True,False
38,127.42841715509427,123.51570346584148,True,False
40,124.14760187210899,123.29934570533116,True,False
42,124.4863948359738,123.10679857090514,True,False
44,127.51327186469159,122.21292960627069,True,False
46,126.67436054511222,121.0879336755664,True,False
48,126.96669232014705,121.16912216966696,True,False
50,125.49836506561743,121.39665496052393,True,False
52,128.51971478368762,121.49656733705058,True,False
54,124.00252036639077,120.96169541730633,True,False
56,123.20023484167524,121.16640452859434,True,False
58,125.96493613012481,120.12602245466564,True,False
60,121.96824807622819,123.94432585662477,False,False
62,126.7725043436862,122.07152690509656,True,False
64,124.75774893450625,123.49428006458473,True,False
66,125.18093908368687,123.90458844172267,True,False
68,121.77044706432221,122.35204230111847,False,False
70,127.23868593274906,121.22573709891219,True,False
72,123.67882243258092,122.6115678370314,True,False
74,126.43504040491128,121.94799004936571,True,False
76,123.36407185538434,122.4160387593078,True,False
78,127.15206158141663,121.20844511498358,True,False
80,124.62967838433735,123.23491073949114,True,False
82,124.13001990011757,123.96562654439826,True,False
84,127.25923972767465,123.24125164206292,True,False
86,123.17045353084949,120.84974620588662,True,False
88,127.11729620697199,122.9117613522661,True,False
90,121.584556691556,122.42790852572642,False,False
92,126.71892764582395,120.67385668385431,True,False
94,127.41543530283313,124.36368193609849,True,False
96,127.79823974549156,120.69884925344877,True,False
98,128.08589891595716,121.52825267196265,True,False
100,123.8644237577173,122.1180170614127,True,False
mean,125.35803146560207,122.24557713243907,True,False
std,1.764837693147414,1.1073285680793268,True,False
