Word,Dot_product,Location_fan,Model_seed,n_epochs,List
plantenkas,1.3717552423477173,True,23,65,1
terras,1.0067214965820312,True,23,65,1
tram,1.9344656467437744,True,23,65,1
metro,0.4738544523715973,True,23,65,1
afgrond,1.07111656665802,True,23,65,1
bus,0.956896185874939,True,23,65,1
trein,0.7792286276817322,True,23,65,1
tempel,1.474141001701355,True,23,65,1
filmhuis,2.364870309829712,True,23,65,1
synagoge,0.9465147256851196,True,23,65,1
boetiek,1.4085065126419067,True,23,65,1
supermarkt,0.9659962058067322,True,23,65,1
warenhuis,0.7753685116767883,True,23,65,1
greppel,1.7027990818023682,True,23,65,1
cinema,1.9401694536209106,True,23,65,1
plaatsje,0.8137453198432922,True,23,65,1
theater,0.8358697891235352,True,23,65,1
camper,1.6292815208435059,True,23,65,1
bioscoop,1.0197769403457642,True,23,65,1
gehucht,1.5972905158996582,True,23,65,1
dorp,0.6745582818984985,True,23,65,1
winkel,1.0212088823318481,True,23,65,1
caravan,1.1529457569122314,True,23,65,1
plantenkas,1.030387043952942,True,40,65,1
terras,1.2400461435317993,True,40,65,1
tram,1.2185389995574951,True,40,65,1
metro,2.1732654571533203,True,40,65,1
afgrond,2.487272262573242,True,40,65,1
bus,1.2128093242645264,True,40,65,1
trein,0.4690256118774414,True,40,65,1
tempel,1.85588538646698,True,40,65,1
filmhuis,0.9273681640625,True,40,65,1
synagoge,0.9688243269920349,True,40,65,1
boetiek,1.696397066116333,True,40,65,1
supermarkt,1.4440765380859375,True,40,65,1
warenhuis,0.9396176934242249,True,40,65,1
greppel,1.8519766330718994,True,40,65,1
cinema,0.9540040493011475,True,40,65,1
plaatsje,0.9977872967720032,True,40,65,1
theater,1.0526167154312134,True,40,65,1
camper,2.2491614818573,True,40,65,1
bioscoop,0.4166254699230194,True,40,65,1
gehucht,2.3081305027008057,True,40,65,1
stadje,1.256367802619934,True,40,65,1
winkel,1.8042134046554565,True,40,65,1
caravan,1.1262829303741455,True,40,65,1
plantenkas,0.6532822847366333,True,50,65,1
terras,1.8547182083129883,True,50,65,1
tram,1.5813251733779907,True,50,65,1
metro,1.4490269422531128,True,50,65,1
afgrond,2.530304431915283,True,50,65,1
bus,0.9062848687171936,True,50,65,1
trein,0.9767791032791138,True,50,65,1
tempel,1.4466710090637207,True,50,65,1
filmhuis,1.5580806732177734,True,50,65,1
synagoge,1.3136346340179443,True,50,65,1
boetiek,0.9215704202651978,True,50,65,1
supermarkt,0.8838435411453247,True,50,65,1
warenhuis,1.7295323610305786,True,50,65,1
greppel,1.2612593173980713,True,50,65,1
cinema,1.4189156293869019,True,50,65,1
plaatsje,1.0287115573883057,True,50,65,1
theater,0.6381909847259521,True,50,65,1
camper,1.1775778532028198,True,50,65,1
bioscoop,0.9814043641090393,True,50,65,1
gehucht,2.1414787769317627,True,50,65,1
dorp,0.724507212638855,True,50,65,1
stadje,0.7814836502075195,True,50,65,1
winkel,1.2484385967254639,True,50,65,1
caravan,1.407607913017273,True,50,65,1
gieterij,1.1776589155197144,True,23,65,3
metro,1.4045662879943848,True,23,65,3
tent,1.5227025747299194,True,23,65,3
basiliek,0.2627008259296417,True,23,65,3
universiteit,0.935123860836029,True,23,65,3
hut,1.054042100906372,True,23,65,3
duinen,1.3070003986358643,True,23,65,3
theater,1.917564868927002,True,23,65,3
afgrond,2.1308045387268066,True,23,65,3
cinema,0.9171154499053955,True,23,65,3
tram,1.0121644735336304,True,23,65,3
crypte,0.34218069911003113,True,23,65,3
campus,0.877916693687439,True,23,65,3
fabriek,1.2731976509094238,True,23,65,3
kapel,0.6514955163002014,True,23,65,3
firma,1.094424843788147,True,23,65,3
bus,0.9362249374389648,True,23,65,3
sacristie,2.322036027908325,True,23,65,3
montagehal,1.7590043544769287,True,23,65,3
woud,1.673237919807434,True,23,65,3
trein,1.1230186223983765,True,23,65,3
bioscoop,1.0411525964736938,True,23,65,3
filmhuis,1.202857494354248,True,23,65,3
kloof,1.1839234828948975,True,23,65,3
gieterij,0.7206386923789978,True,40,65,3
metro,1.2664519548416138,True,40,65,3
tent,1.7725507020950317,True,40,65,3
basiliek,1.8761860132217407,True,40,65,3
universiteit,2.009430170059204,True,40,65,3
hut,1.2541557550430298,True,40,65,3
duinen,1.3655149936676025,True,40,65,3
theater,1.2844678163528442,True,40,65,3
afgrond,0.699310839176178,True,40,65,3
cinema,1.44935941696167,True,40,65,3
tram,1.065639853477478,True,40,65,3
crypte,1.3618134260177612,True,40,65,3
campus,0.8649327158927917,True,40,65,3
fabriek,1.6172175407409668,True,40,65,3
kapel,0.4824499785900116,True,40,65,3
firma,0.9231072664260864,True,40,65,3
bus,0.9434686899185181,True,40,65,3
sacristie,1.5803920030593872,True,40,65,3
montagehal,1.00693941116333,True,40,65,3
woud,2.1879401206970215,True,40,65,3
trein,0.4395367503166199,True,40,65,3
bioscoop,1.5241713523864746,True,40,65,3
filmhuis,2.3621366024017334,True,40,65,3
kloof,1.3984134197235107,True,40,65,3
gieterij,1.4474645853042603,True,50,65,3
metro,1.1126388311386108,True,50,65,3
tent,1.1087461709976196,True,50,65,3
basiliek,2.072511911392212,True,50,65,3
universiteit,1.059274673461914,True,50,65,3
hut,0.5469325184822083,True,50,65,3
duinen,2.0971667766571045,True,50,65,3
theater,0.790780782699585,True,50,65,3
afgrond,1.2826588153839111,True,50,65,3
cinema,1.3783373832702637,True,50,65,3
tram,0.9976032376289368,True,50,65,3
crypte,0.5709878206253052,True,50,65,3
campus,2.12691330909729,True,50,65,3
fabriek,1.3969950675964355,True,50,65,3
