Lists,Fan2,Fan4,Fan2greater,Droprate,Training,Mistakes_Epochs_0,Mistakes_Epochs_65
2,2.7857303534433338,1.6322332710292282,True,0,False,23.333333333333332,0
4,1.880384089156746,1.707166199614365,True,0,False,22.666666666666668,0
6,1.4582507266151499,1.641260874499638,False,0,False,23.333333333333332,0
8,1.613427798926591,1.5365459427346877,True,0,False,23.666666666666668,0
10,1.697872783720254,1.59352749442844,True,0,False,23.666666666666668,0
12,1.9740897662736567,1.5567446183833074,True,0,False,22.666666666666668,0
14,1.8301387664816122,1.9922161677030317,False,0,False,24.0,0
16,1.9627279264030448,1.5231481325301122,True,0,False,23.666666666666668,0
18,1.691746163068721,1.4197910807204834,True,0,False,23.333333333333332,0
20,1.8113495133616122,1.4155769479725602,True,0,False,23.0,0
22,2.574566126843054,1.5729590342023811,True,0,False,22.333333333333332,0
24,2.405006317153334,1.8099401247486564,True,0,False,21.666666666666668,0
26,1.486779033248384,1.8270369888082238,False,0,False,22.333333333333332,0
28,1.1365643854983243,2.0237858581466073,False,0,False,23.333333333333332,0
30,2.3150188715306514,1.5077515185919992,True,0,False,23.0,0
32,1.7791120624589514,1.1503949210389919,True,0,False,22.0,0
34,1.8883537097943417,1.442279554635047,True,0,False,23.666666666666668,0
36,1.4716362863577994,1.5617970570099942,False,0,False,23.666666666666668,0
38,1.5265911644123586,2.3252661512653123,False,0,False,22.0,0
40,1.3407027642662417,1.4474597261707078,False,0,False,23.333333333333332,0
42,1.2891740672089251,1.956225558536509,False,0,False,23.0,0
44,1.7578239314057025,1.1944660495144717,True,0,False,23.0,0
46,1.96056792113161,2.0201658766826087,False,0,False,22.333333333333332,0
48,1.8436349012998334,1.8711663037958335,False,0,False,23.333333333333332,0
50,2.1757042079342,1.2614063377291056,True,0,False,23.0,0
52,1.3209481101592473,1.294173595828541,True,0,False,24.0,0
54,1.5700450931164216,1.5772635244873754,False,0,False,23.0,0
56,1.2630354200599185,2.0446140759578686,False,0,False,22.666666666666668,0
58,1.0934492344611726,1.860894218827669,False,0,False,23.333333333333332,0
60,1.1895604609000276,1.723339938290178,False,0,False,23.333333333333332,0
62,1.6128416927951168,1.6595067465321562,False,0,False,23.0,0
64,2.204535237555463,1.5672307089390944,True,0,False,23.0,0
66,1.408009394502028,1.4345289798252376,False,0,False,23.333333333333332,0
68,1.1997612904556187,2.2136131256152036,False,0,False,22.666666666666668,0
70,1.0404370002247485,1.790358536608278,False,0,False,23.333333333333332,0
72,1.9706511074165594,1.38384481616791,True,0,False,22.333333333333332,0
74,1.740895452795932,1.446597582702596,True,0,False,23.0,0
76,1.3331329031335901,1.5058258995833587,False,0,False,23.0,0
78,1.2794075916009735,1.6223649008929821,False,0,False,23.0,0
80,1.5307602460605494,1.6538970047872605,False,0,False,22.666666666666668,0
82,1.6681729937392067,1.7017077885134237,False,0,False,23.333333333333332,0
84,1.6357468935149502,1.6233788157922617,True,0,False,23.333333333333332,0
86,1.215324603994448,1.6858882403110556,False,0,False,23.0,0
88,1.2963768821629476,1.7427738913133832,False,0,False,23.666666666666668,0
90,2.0707459540215725,1.3045866368758272,True,0,False,23.333333333333332,0
92,2.0504394093327316,1.8680538185515843,True,0,False,22.0,0
94,1.4529116889881681,1.4471425489011,True,0,False,23.0,0
96,1.0176424295285187,1.7981716782895318,False,0,False,23.0,0
98,1.5292477893752447,1.9380713440509605,False,0,False,22.333333333333332,0
100,2.1874292859606537,1.4145170553851965,True,0,False,23.333333333333332,0
mean,1.6707692360770048,1.6458531452704466,True,0,False,23.026666666666664,0
std,0.4008866998143112,0.2518312802186062,True,0,False,0.5242560867023334,0
2,2.9211142134962076,2.781043033633556,True,0.0,True,0,0.3333333333333333
4,2.9865451812543067,2.7927937939561995,True,0.0,True,0,0.0
6,2.9789513967730197,2.7333635088269173,True,0.0,True,0,0.3333333333333333
8,2.813277329981088,2.842313671410155,False,0.0,True,0,0.0
10,2.8851183997886967,2.8265337699202293,True,0.0,True,0,0.0
12,3.043495775242407,2.8139011846343767,True,0.0,True,0,0.0
14,3.14956018053468,2.73418182298186,True,0.0,True,0,0.3333333333333333
16,3.1446428494947742,2.7593336191137725,True,0.0,True,0,0.0
18,2.83800616585191,2.779689687035739,True,0.0,True,0,0.0
20,2.949225750793774,2.7960932364279287,True,0.0,True,0,0.3333333333333333
22,3.082523911922931,2.7891618299407357,True,0.0,True,0,0.0
24,3.047066439916451,2.78788372574226,True,0.0,True,0,0.6666666666666666
26,2.8520578267472576,2.8547821495480927,False,0.0,True,0,0.0
28,3.061745473225672,2.7130784868915345,True,0.0,True,0,0.0
30,2.9619106001950892,2.743111528353319,True,0.0,True,0,0.3333333333333333
32,2.6845848073360914,2.884599379305799,False,0.0,True,0,0.0
34,3.151945871342976,2.724980941104981,True,0.0,True,0,0.3333333333333333
36,2.850287676830847,2.807509584083914,True,0.0,True,0,0.0
38,2.9848928647535633,2.893129891219827,True,0.0,True,0,0.3333333333333333
40,2.7453541206615757,2.8245962085622143,False,0.0,True,0,0.0
42,2.831943408007184,2.767359643750895,True,0.0,True,0,0.0
44,3.052488716671625,2.7059825835341473,True,0.0,True,0,0.3333333333333333
46,2.9637162342111716,2.802591244069827,True,0.0,True,0,0.6666666666666666
48,3.0050576103029245,2.763329067309458,True,0.0,True,0,0.0
50,2.9258209091720575,2.821893559500336,True,0.0,True,0,0.0
52,2.872067888309319,2.7356018644866937,True,0.0,True,0,0.0
54,2.8507117042737793,2.6841506843564504,True,0.0,True,0,0.0
56,2.71024496507195,2.804132582309934,False,0.0,True,0,0.6666666666666666
58,2.9830765249627422,2.723981498782594,True,0.0,True,0,0.0
60,2.881548036863167,2.806392992267767,True,0.0,True,0,0.0
62,3.137707474062601,2.7201196399626726,True,0.0,True,0,0.0
64,2.990749687929709,2.8218499704994353,True,0.0,True,0,0.0
66,2.908172383635997,2.794742026408274,True,0.0,True,0,0.0
68,2.8063128836251887,2.8181124239958915,False,0.0,True,0,0.0
70,2.9037789203025492,2.701896539724296,True,0.0,True,0,0.6666666666666666
72,2.91302219999806,2.852685984343672,True,0.0,True,0,0.0
74,3.0104788166580194,2.706288441747188,True,0.0,True,0,0.0
76,3.0626290686227473,2.7726371700363943,True,0.0,True,0,0.3333333333333333
78,2.766891009216268,2.9417860573577475,False,0.0,True,0,0.0
80,2.8385171502627524,2.8539581893845654,False,0.0,True,0,0.3333333333333333
82,2.9545234215555185,2.8242375801426762,True,0.0,True,0,0.0
84,2.8432483179914545,2.8088101627104076,True,0.0,True,0,0.0
86,2.82346972796297,2.8387095279790553,False,0.0,True,0,0.0
88,3.0380158670045527,2.6598820814040893,True,0.0,True,0,0.0
90,3.1901730718510937,2.6553134800665172,True,0.0,True,0,0.0
92,2.9317656193969244,2.815104902763922,True,0.0,True,0,0.0
94,2.9109530309634994,2.6693959131014937,True,0.0,True,0,0.0
96,3.0651683506665224,2.726411283989508,True,0.0,True,0,0.0
98,2.96587959650135,2.7770243874239515,True,0.0,True,0,0.0
100,3.009907232949892,2.818961643345415,True,0.0,True,0,0.0
mean,2.945606933302938,2.7815084835889734,True,0.0,True,0,0.12
std,0.11677034214766875,0.06109853657273706,True,0.0,True,0,0.20827332469084414
