Word,ACT_R_activation,Location_fan,List
internist,122.4167309454615,False,2
missionaris,130.2173335666804,False,2
kluizenaar,121.89075269891634,False,2
dokter,116.69104810442762,False,2
kloosterling,135.50552077839384,False,2
stroper,131.32328332401485,False,2
slager,125.87033456201384,False,2
kapitein,126.67005571045065,False,2
acrobaat,124.49728683682605,False,2
soldaat,124.95833456476754,False,2
kolonel,140.92248562103975,False,2
chirurg,117.49344577837057,False,2
bakker,147.19318143012882,False,2
klant,120.167580943166,False,2
groenteboer,123.76472353905054,False,2
verkoper,128.562396974477,False,2
loodgieter,119.25071534377838,False,2
jager,136.07166170036945,False,2
admiraal,129.0323040102191,False,2
monteur,131.0419124116718,False,2
goochelaar,128.98655742729602,False,2
monnik,118.61185167254347,False,2
neuroloog,134.53708268381592,False,2
kruidenier,132.70569896841783,False,2
procureur,129.41598387161125,False,4
elektricien,118.39270776791007,False,4
kloosterling,129.75700394222227,False,4
denker,133.82909654001497,False,4
illustrator,124.58682036180342,False,4
stroper,135.90089592921396,False,4
internist,125.85143344514563,False,4
loodgieter,119.12414849462338,False,4
jager,140.38090455064173,False,4
schilder,123.91800229654632,False,4
kunstenaar,127.95043447177457,False,4
monteur,132.7274429681656,False,4
missionaris,127.7234039176817,False,4
installateur,134.5092528249205,False,4
admiraal,131.94504211990557,False,4
advocaat,118.36172917785795,False,4
kolonel,144.60225174509475,False,4
notaris,125.48317133648449,False,4
kluizenaar,118.66806987224268,False,4
wetenschapper,112.57169819303377,False,4
raadsman,128.7454146544123,False,4
graficus,123.46368849999799,False,4
dokter,121.23029920669335,False,4
monnik,117.31435681323832,False,4
notaris,128.67174281784787,False,6
loodgieter,114.73658429761771,False,6
soldaat,125.63960175899173,False,6
kapitein,131.26109392414864,False,6
onderzoeker,114.84384356861027,False,6
elektricien,117.47675387768254,False,6
zanger,127.75706143759207,False,6
jager,144.3362668403568,False,6
deejay,135.3194808837799,False,6
kelner,112.28108938982679,False,6
procureur,131.58023511685724,False,6
internist,123.53823317410777,False,6
chirurg,115.73683167078147,False,6
installateur,133.62136213992213,False,6
dokter,117.56391349242392,False,6
artiest,140.9011474485563,False,6
visser,131.85324689827314,False,6
muzikant,130.39245671015578,False,6
ober,122.33830946391124,False,6
barman,124.49297954348603,False,6
monteur,128.79235133082614,False,6
neuroloog,134.09650954842857,False,6
wetenschapper,118.12110529224091,False,6
serveerster,116.30804657684588,False,6
kapitein,132.93217631696953,False,8
goochelaar,123.36639024196124,False,8
clown,137.43237049444397,False,8
bakker,147.54418175070464,False,8
slager,125.99099275632065,False,8
monteur,132.96455168164118,False,8
dronkaard,120.8530390279181,False,8
illustrator,127.5300694975844,False,8
kloosterling,133.31456914891388,False,8
graficus,124.74283904013862,False,8
missionaris,127.14955050405749,False,8
dokter,118.45276354450459,False,8
landloper,130.45581454122205,False,8
chirurg,118.87045271270877,False,8
schilder,124.8519023089665,False,8
kruidenier,135.96864232420077,False,8
monnik,116.867551980452,False,8
kluizenaar,119.13974992192345,False,8
kunstenaar,126.99173374716912,False,8
internist,120.40779147040448,False,8
installateur,134.60273904165618,False,8
neuroloog,130.8396722197546,False,8
groenteboer,122.69952394714397,False,8
admiraal,133.97226562483587,False,8
missionaris,136.70645460306272,False,10
landloper,133.07804934988184,False,10
professor,138.51642414803572,False,10
ober,121.78734576576227,False,10
kelner,109.80872192107302,False,10
installateur,127.96198055500827,False,10
kluizenaar,116.89287230739109,False,10
notaris,122.41211800867575,False,10
kloosterling,134.2143059777672,False,10
monnik,122.45327878750663,False,10
serveerster,115.9359316764286,False,10
elektricien,116.48488476346603,False,10
loodgieter,110.84499630938853,False,10
advocaat,112.94468841981455,False,10
dronkaard,116.81565366785732,False,10
schrijver,138.04468872687642,False,10
barman,122.809855660197,False,10
raadsman,124.6164266628189,False,10
procureur,128.97514330845954,False,10
monteur,127.43468568221098,False,10
klant,116.25497451964944,False,10
auteur,135.64919253476558,False,10
verkoper,123.02622837994392,False,10
onderzoeker,113.04449672747157,False,10
kolonel,141.06863221288398,False,12
barman,129.61456282081386,False,12
monnik,118.12518463921147,False,12
missionaris,129.20091384756046,False,12
graficus,124.08104809798071,False,12
soldaat,124.60610019298178,False,12
serveerster,126.30523796680943,False,12
bakker,154.7145784888676,False,12
elektricien,116.5001474025187,False,12
advocaat,118.7515381726679,False,12
admiraal,131.41480355218616,False,12
kunstenaar,127.73636011838337,False,12
loodgieter,117.98034117433991,False,12
schilder,124.44653335883555,False,12
denker,135.4778730241954,False,12
kapitein,127.49486804136654,False,12
kloosterling,129.87728627427674,False,12
kluizenaar,119.32548908953562,False,12
monteur,130.4446903663813,False,12
illustrator,126.01271211077085,False,12
raadsman,130.50553974773533,False,12
wetenschapper,114.25209373817796,False,12
installateur,131.97970524637336,False,12
groenteboer,128.0237079557182,False,12
soldaat,125.29014050104551,False,14
monnik,117.64542250589545,False,14
kloosterling,131.49545701221555,False,14
journalist,124.7719721783916,False,14
kelner,116.67269865352823,False,14
clown,138.1519692610357,False,14
vertaler,127.73935446727398,False,14
admiraal,125.98379145995364,False,14
installateur,140.00977725037998,False,14
schrijver,128.61149363493666,False,14
dokter,118.09990892792872,False,14
notaris,131.8614428490052,False,14
