Lists,Fan2,Fan4,Fan2greater,Training
1,131.46260564953627,127.36354001800386,True,False
3,136.6112456438501,126.35828615148381,True,False
5,134.0104192227139,127.04158840134096,True,False
7,131.85498592875877,127.60103391363819,True,False
9,132.35096911901104,128.42024996345168,True,False
11,129.79054705304844,127.39554206888155,True,False
13,133.08988998997862,127.87605485725975,True,False
15,131.89987762683768,128.69383722257555,True,False
17,136.0368745794847,127.8214495209455,True,False
19,127.64392957736437,129.10306830959186,False,False
21,129.0319581549848,129.69415242260612,False,False
23,134.23550661666252,125.21691499486982,True,False
25,130.08314186964643,127.1550851920162,True,False
27,131.49708064009238,129.5051377372762,True,False
29,133.14709105080115,126.79296452591583,True,False
31,132.24263117769303,127.47116823166884,True,False
33,128.33531783913963,129.334223931454,False,False
35,128.18085934341406,130.02966948466667,False,False
37,130.6121659923267,129.3001492895018,True,False
39,127.55909180482777,130.45469835797422,False,False
41,131.46314987379796,129.59083339908145,True,False
43,135.45593041284224,124.56387854819147,True,False
45,131.0152022928815,128.1107193916106,True,False
47,130.44008358547185,127.8268747421898,True,False
49,133.54673678932554,126.35031937406214,True,False
51,128.91628459735813,126.70810304468336,True,False
53,130.74463843529105,128.7581989851416,True,False
55,129.13442144903945,127.62871378288041,True,False
57,134.31972984941473,127.99201817234395,True,False
59,136.77777541494996,126.30124987207557,True,False
61,129.9355637271537,126.46453743446814,True,False
63,133.59131939759666,126.70010577012683,True,False
65,132.46401166605062,126.80128729186069,True,False
67,129.9357513235915,127.63586913822425,True,False
69,134.9103186038959,128.48829330528298,True,False
71,134.18228819770417,127.2046162480286,True,False
73,131.143946735439,128.37365204378256,True,False
75,134.6466025216259,127.4433057328913,True,False
77,129.97617166441825,129.75962542349436,True,False
79,133.31972062060166,127.82654393295799,True,False
81,129.42975796696635,128.16388851086452,True,False
83,129.66992432349784,128.71786492295993,True,False
85,129.70964487333225,126.82649215879383,True,False
87,128.56797463699618,127.99723426257019,True,False
89,127.58572669137799,130.05971676028753,False,False
91,131.14965266643026,128.35112999796758,True,False
93,136.8689544111598,126.18646317614977,True,False
95,132.81705202319998,127.21467163988166,True,False
97,129.0241370074004,129.17767774079184,False,False
99,135.22131023876142,125.76602072657312,True,False
mean,131.7127994175549,127.83237440250683,True,False
std,2.562122047923187,1.28847813948382,True,False
