Lists,Fan2,Fan4,Fan2greater,Training
2,127.48767437019994,128.0300552896686,False,False
4,130.78895271621798,125.0088519544683,True,False
6,128.28839202716583,124.7095694366215,True,False
8,130.82241837133103,126.33512417968424,True,False
10,126.80371350681023,122.01773065056445,True,False
12,129.7056414893732,126.26842598284915,True,False
14,128.59537923812388,125.2436420484882,True,False
16,130.54965017663366,129.18262318240565,True,False
18,126.69884887052712,123.49273439077633,True,False
20,132.41257423611998,123.8835900484346,True,False
22,128.058926753332,123.7161560559872,True,False
24,128.28936565131062,127.88360541200741,True,False
26,127.40071315942993,124.67126245010138,True,False
28,129.88702100872803,123.4495420985032,True,False
30,124.54405060719435,128.08318855592478,False,False
32,126.59995445736718,124.3511305708199,True,False
34,127.52490301753372,125.45074406206774,True,False
36,128.167445611719,124.4691052234526,True,False
38,128.71045276336343,126.65649734065593,True,False
40,130.18704558331683,124.32523512495875,True,False
42,132.45990066822915,124.85497288498499,True,False
44,130.8936405255065,123.64570969441472,True,False
46,132.01532567883544,124.21442261083307,True,False
48,129.2196059880406,122.31706617111362,True,False
50,129.15194001720943,127.19688981503589,True,False
52,130.60901042811022,125.11626236071078,True,False
54,128.86522396284954,122.63205901011848,True,False
56,127.06161490131458,127.12506199801669,False,False
58,130.15744071315635,123.91695453858398,True,False
60,128.74333751593906,127.90300801596707,True,False
62,129.4352763694089,127.36813321620673,True,False
64,128.5655688067524,124.74031534274309,True,False
66,127.47090985725492,129.4079957758589,False,False
68,124.60009824469932,128.21675927942985,False,False
70,132.55274747216362,121.81268677179632,True,False
72,129.6960642054177,125.97958347961868,True,False
74,126.56478153187888,124.92951064010276,True,False
76,127.45347787565498,125.38649590673735,True,False
78,130.03340449723805,127.06701741475258,True,False
80,131.1859209958563,126.5708419891726,True,False
82,129.0625945240631,124.51687666212663,True,False
84,131.2194651685584,123.2550154349382,True,False
86,128.41507383813263,127.33428644666836,True,False
88,130.195461254218,127.03889955927207,True,False
90,129.04664315491806,124.84656207352334,True,False
92,128.30455407987643,124.97826896686091,True,False
94,127.14658392420318,127.53501348448754,False,False
96,129.2150998126009,126.52600779213293,True,False
98,133.89271919290468,123.80344541534578,True,False
100,130.56216607997368,123.87725934006104,True,False
mean,129.10637549801527,125.4268439230011,True,False
std,1.9348267738582015,1.8528673231467203,True,False
