Word,Dot_product,Location_fan,Model_seed,n_epochs,List
missionaris,1.29530990123749,False,23,65,2
kluizenaar,0.25837653875351,False,23,65,2
dokter,1.20795571804047,False,23,65,2
kloosterling,1.24259531497955,False,23,65,2
stroper,1.3191624879837,False,23,65,2
slager,1.21802878379822,False,23,65,2
kapitein,1.19271016120911,False,23,65,2
acrobaat,1.66457164287567,False,23,65,2
soldaat,0.789486527442932,False,23,65,2
kolonel,1.23825931549072,False,23,65,2
chirurg,1.39199769496918,False,23,65,2
bakker,1.62686657905579,False,23,65,2
klant,1.10757052898407,False,23,65,2
groenteboer,1.06550788879395,False,23,65,2
verkoper,1.15932393074036,False,23,65,2
loodgieter,1.45477426052094,False,23,65,2
jager,0.632853269577026,False,23,65,2
admiraal,1.17113900184631,False,23,65,2
monteur,1.36035454273224,False,23,65,2
goochelaar,0.964256167411804,False,23,65,2
monnik,1.76031982898712,False,23,65,2
neuroloog,0.95521891117096,False,23,65,2
kruidenier,1.16243159770966,False,23,65,2
internist,1.77363550662994,False,40,65,2
missionaris,1.48688435554504,False,40,65,2
kluizenaar,0.175118461251259,False,40,65,2
dokter,1.43619859218597,False,40,65,2
kloosterling,1.6517094373703,False,40,65,2
stroper,1.75019574165344,False,40,65,2
slager,1.3476105928421,False,40,65,2
kapitein,1.51939582824707,False,40,65,2
acrobaat,2.09732007980347,False,40,65,2
soldaat,0.781618118286133,False,40,65,2
kolonel,1.03077065944672,False,40,65,2
chirurg,1.23577272891998,False,40,65,2
bakker,0.557970583438873,False,40,65,2
klant,0.927212595939636,False,40,65,2
groenteboer,0.477246731519699,False,40,65,2
verkoper,1.14870929718018,False,40,65,2
loodgieter,1.55501520633698,False,40,65,2
jager,1.31146097183228,False,40,65,2
admiraal,1.46841144561768,False,40,65,2
monteur,1.82831907272339,False,40,65,2
goochelaar,1.37956440448761,False,40,65,2
monnik,1.86915981769562,False,40,65,2
neuroloog,1.1992392539978,False,40,65,2
kruidenier,0.638840198516846,False,40,65,2
internist,1.39974439144135,False,50,65,2
missionaris,1.87975800037384,False,50,65,2
kluizenaar,0.325103759765625,False,50,65,2
dokter,0.943921327590942,False,50,65,2
kloosterling,1.53514552116394,False,50,65,2
stroper,0.460973918437958,False,50,65,2
slager,1.46377515792847,False,50,65,2
kapitein,0.371005117893219,False,50,65,2
acrobaat,1.14050424098969,False,50,65,2
soldaat,1.18027245998383,False,50,65,2
kolonel,1.41600251197815,False,50,65,2
chirurg,0.629706203937531,False,50,65,2
bakker,1.52139377593994,False,50,65,2
klant,1.21696877479553,False,50,65,2
groenteboer,0.746348083019257,False,50,65,2
verkoper,1.55063962936401,False,50,65,2
loodgieter,1.08981871604919,False,50,65,2
jager,0.844823956489563,False,50,65,2
admiraal,1.73242712020874,False,50,65,2
monteur,1.97022950649261,False,50,65,2
goochelaar,1.54560828208923,False,50,65,2
monnik,1.60661923885345,False,50,65,2
neuroloog,1.27702331542969,False,50,65,2
kruidenier,0.811266839504242,False,50,65,2
procureur,0.353420108556747,False,23,65,4
elektricien,1.01684546470642,False,23,65,4
kloosterling,0.575782418251038,False,23,65,4
denker,2.23871040344238,False,23,65,4
illustrator,0.905323147773743,False,23,65,4
stroper,1.24574327468872,False,23,65,4
internist,1.78654313087463,False,23,65,4
loodgieter,0.94899195432663,False,23,65,4
jager,1.84629273414612,False,23,65,4
schilder,0.881277978420258,False,23,65,4
kunstenaar,0.829981923103333,False,23,65,4
monteur,1.54865336418152,False,23,65,4
missionaris,1.64550316333771,False,23,65,4
installateur,1.13817191123962,False,23,65,4
admiraal,1.2207932472229,False,23,65,4
advocaat,1.10271036624908,False,23,65,4
