Lists,Fan2,Fan4,Fan2greater,Droprate,Training,Mistakes_Epochs_0,Mistakes_Epochs_65
2,0.909769878764708,1.0411518819584291,False,0,False,24.0,0
4,1.3914301537086657,1.2820349446296784,True,0,False,23.666666666666668,0
6,1.162374681835134,1.429414570295944,False,0,False,23.0,0
8,1.4992186573443405,1.7683401011971227,False,0,False,23.333333333333332,0
10,1.50302795914785,1.303486058220028,True,0,False,21.666666666666668,0
12,1.2605278411679062,0.8983524063401015,True,0,False,23.333333333333332,0
14,1.8181234887289595,1.4780255665180675,True,0,False,22.666666666666668,0
16,1.1803678004490923,1.841147679295462,False,0,False,23.0,0
18,1.4138627887812845,1.6169819019689005,False,0,False,23.333333333333332,0
20,1.349669864753643,1.4115706213859311,False,0,False,22.666666666666668,0
22,0.817850243652621,1.739365900908668,False,0,False,23.333333333333332,0
24,1.6594395265402984,1.5286950236606192,True,0,False,23.666666666666668,0
26,1.2780962906576785,1.2254357824987512,True,0,False,24.0,0
28,0.5967859722472819,1.3475140434488746,False,0,False,23.0,0
30,0.5753499664165171,1.503781332462942,False,0,False,22.333333333333332,0
32,1.4088831046084653,1.436150150105118,False,0,False,24.0,0
34,0.7699452030581824,1.6078371994306735,False,0,False,23.0,0
36,1.61376677830245,0.9203303365146212,True,0,False,23.666666666666668,0
38,1.4594090180891346,1.1090002376229904,True,0,False,23.0,0
40,0.48571922975754656,1.4189708371445628,False,0,False,23.0,0
42,1.3281397978263687,1.477506033497313,False,0,False,22.666666666666668,0
44,0.7286898339742265,1.264341310329496,False,0,False,23.333333333333332,0
46,1.7241001523830088,1.2184069630488845,True,0,False,24.0,0
48,2.3315770508520397,1.35644174192884,True,0,False,22.0,0
50,1.5257639809310528,1.3512203989504616,True,0,False,22.666666666666668,0
52,1.4019049539961013,1.592130434275676,False,0,False,23.333333333333332,0
54,0.9757391935013325,1.4218006234958238,False,0,False,22.333333333333332,0
56,1.3665497362412604,1.1922439312361273,True,0,False,23.0,0
58,1.6164023243310641,1.319612730452862,True,0,False,22.666666666666668,0
60,1.871423230082799,1.5167575237605813,True,0,False,22.333333333333332,0
62,1.8118922502843133,1.39909014513568,True,0,False,23.0,0
64,1.9210304366844486,1.5709810609146113,True,0,False,23.333333333333332,0
66,1.7589051030840817,1.9159613673529368,False,0,False,21.333333333333332,0
68,1.4077178324061226,1.1960221796405903,True,0,False,23.0,0
70,1.3789637224237214,1.2206227486441623,True,0,False,23.0,0
72,0.5793363793862454,0.8459483481742532,False,0,False,23.333333333333332,0
74,1.5211329358118366,1.6422027109300188,False,0,False,23.333333333333332,0
76,1.4605423318021091,1.6317901037432345,False,0,False,21.666666666666668,0
78,1.1615991974669289,1.1631825945449463,False,0,False,24.0,0
80,1.6957679825944296,1.2891656302025012,True,0,False,23.0,0
82,0.757416853567967,1.462200044327642,False,0,False,23.333333333333332,0
84,1.1485368094516388,1.78142867761516,False,0,False,23.666666666666668,0
86,1.0108378030158671,1.3766299571951321,False,0,False,23.333333333333332,0
88,1.1416945427610319,1.7333417127018265,False,0,False,23.0,0
