Lists,Fan2,Fan4,Fan2greater,Drop,Training
1,1.2412253702479195,1.592461546304086,False,0,False
3,1.4670531599581333,1.874949780800451,False,0,False
5,2.8110836406347746,1.635366199114431,True,0,False
7,1.6467144200998138,1.6913909349855127,False,0,False
9,2.0121832350688766,1.0508836221059255,True,0,False
11,1.698284076258301,1.555144417723712,True,0,False
13,1.542292546212434,1.6454621653569954,False,0,False
15,1.9158151192079078,1.3728197647368006,True,0,False
17,1.441685704556365,1.9298907192843746,False,0,False
19,1.8606645586388897,1.2453130853471748,True,0,False
21,0.9145162144785217,1.8086662603729184,False,0,False
23,1.3898117188784074,1.8341701861580304,False,0,False
25,1.892910570879538,1.8732589095629844,True,0,False
27,2.042043368063628,1.3905711256697866,True,0,False
29,1.617819263020912,1.3703849182573549,True,0,False
31,2.25945828579839,1.6200918552575103,True,0,False
33,1.5841380643767706,1.7838450641170236,False,0,False
35,0.989665496205051,1.315167245186626,False,0,False
37,1.7163973311382126,2.079745006168643,False,0,False
39,1.1489864159795236,1.9695285573090207,False,0,False
41,1.7539116686319403,2.1663893099983627,False,0,False
43,1.3963189923313848,1.4253367009837272,False,0,False
45,1.7942883413083943,1.4391793016143235,True,0,False
47,1.5529107479798387,1.800245292914792,False,0,False
49,1.2193763607290975,2.08607290355651,False,0,False
51,2.23762230299886,1.2793289951158158,True,0,False
53,1.137831627278039,1.438755323686708,False,0,False
55,1.4134039658852013,1.365799051441013,True,0,False
57,2.379144371529181,1.7054625443059421,True,0,False
59,1.3107613382970384,1.9093158782569162,False,0,False
average,1.646277275889045,1.641833222189783,True,0,False
1,2.8300819705116966,2.603024160245233,True,0.0,True
3,2.8588108829409595,2.64922261886461,True,0.0,True
5,2.7952808504567885,2.61542075030668,True,0.0,True
7,2.7054978215245002,2.699343546762513,True,0.0,True
9,2.862337972157085,2.5557240476611316,True,0.0,True
11,2.682059644608209,2.6239710395683007,True,0.0,True
13,2.7421162089675137,2.5983688872106465,True,0.0,True
15,2.9203340241639655,2.5485623910822066,True,0.0,True
17,2.8474349546045157,2.6390762975626405,True,0.0,True
19,2.771119268478431,2.5879765120948757,True,0.0,True
21,2.7068859013993385,2.701758833702259,True,0.0,True
23,2.7956182929466724,2.6038753078544916,True,0.0,True
25,2.842258948797121,2.5687241509496364,True,0.0,True
27,2.889131078150505,2.59968072554647,True,0.0,True
29,2.7835365444220694,2.6394112786397197,True,0.0,True
31,2.852084961878207,2.6051052714302916,True,0.0,True
33,2.789858082797605,2.6436785090028554,True,0.0,True
35,2.833446569433507,2.58165369421309,True,0.0,True
37,2.860287481650471,2.689456680424117,True,0.0,True
39,2.92386019598855,2.575192906217876,True,0.0,True
41,2.8253295372349614,2.665430704864919,True,0.0,True
43,2.8352211136208627,2.6550181255620298,True,0.0,True
45,2.721068754989415,2.6463335638722962,True,0.0,True
47,2.839198204847124,2.6745902233167955,True,0.0,True
49,2.887354151644854,2.6096713831971026,True,0.0,True
51,2.830922050443549,2.602252524669431,True,0.0,True
53,2.8219913049089502,2.6097857190211395,True,0.0,True
55,2.777918477759302,2.5977203479737834,True,0.0,True
57,2.872497338067501,2.6636857309720883,True,0.0,True
59,2.806063906254008,2.682125292236522,True,0.0,True
average,2.816986883188275,2.624528040834191,True,0.0,True
1,2.9054483642134907,2.51341474242826,True,0.2,True
3,2.825153341558833,2.580170053118756,True,0.2,True
5,2.8934499628407973,2.527997766391756,True,0.2,True
7,2.679890147200081,2.5837587627497594,True,0.2,True
9,2.8661081286877486,2.440294892284169,True,0.2,True
11,2.670081079436227,2.5549836600580345,True,0.2,True
13,2.8396198522564116,2.4941545275731416,True,0.2,True
15,2.7926852724469047,2.462033922961829,True,0.2,True
17,2.701287258458395,2.5547701039596706,True,0.2,True
19,2.6467875879056844,2.5355418937622973,True,0.2,True
21,2.568372345600581,2.650244546271544,False,0.2,True
23,2.747842394012719,2.5377676718182176,True,0.2,True
25,2.7722513832106035,2.5168248338384958,True,0.2,True
27,2.9490382203786414,2.5314712957850363,True,0.2,True
29,2.8723105988885056,2.4997852460784618,True,0.2,True
31,2.91404015544033,2.5065268824141564,True,0.2,True
33,2.709296786733974,2.552468743702313,True,0.2,True
35,2.7301420465259905,2.4840681392459603,True,0.2,True
37,2.843861399687277,2.6882988187069943,True,0.2,True
39,2.845199124463905,2.5340687851162254,True,0.2,True
41,2.7843766107721346,2.6085266235539395,True,0.2,True
43,2.7713489361565964,2.572840019471937,True,0.2,True
45,2.6994510800997507,2.5507762516482746,True,0.2,True
47,2.7817967751793655,2.50875278494716,True,0.2,True
49,2.795848605158267,2.585021483222734,True,0.2,True
51,2.769577368514994,2.5541110678564034,True,0.2,True
53,2.7647331769144254,2.5176235528519935,True,0.2,True
55,2.801709766114823,2.5036171492521664,True,0.2,True
57,2.793662362424728,2.6319213711280933,True,0.2,True
59,2.791902111186717,2.553973713985056,True,0.2,True
average,2.7842424080822963,2.544526976872761,True,0.2,True
1,2.5064272646106094,2.0817076613731462,True,0.4,True
3,2.44475760228745,2.233494673043871,True,0.4,True
5,2.572579390294921,2.143225972762131,True,0.4,True
7,2.2669312489483597,2.167835554906704,True,0.4,True
9,2.5543379382223295,1.9910993567326158,True,0.4,True
11,2.233659645050913,2.157158868206193,True,0.4,True
13,2.4410205303024592,2.0857785356524725,True,0.4,True
15,2.4013410404181665,2.0291909653492364,True,0.4,True
17,2.304883063968032,2.1699507773187103,True,0.4,True
19,2.1876593295050877,2.1362244589868093,True,0.4,True
21,2.2052033788478713,2.24058007363858,False,0.4,True
23,2.3822211049684103,2.120153851344632,True,0.4,True
25,2.4444468895703646,2.126734130991122,True,0.4,True
27,2.6615809479294437,2.183321113364241,True,0.4,True
29,2.490154666460656,2.112276174737561,True,0.4,True
31,2.635051303585131,2.1162586698806005,True,0.4,True
33,2.3631072914608846,2.1621818185020176,True,0.4,True
35,2.3128664297626758,2.1047721924680065,True,0.4,True
37,2.537127052669795,2.333191002576761,True,0.4,True
39,2.4638719119861814,2.1292816501137697,True,0.4,True
41,2.3999891942204687,2.221912405631421,True,0.4,True
43,2.42911703291201,2.0796533429779553,True,0.4,True
45,2.318536121770035,2.1665971952347642,True,0.4,True
47,2.4194353009256626,2.1234745562913533,True,0.4,True
49,2.603548366696024,2.182999222891787,True,0.4,True
51,2.4933914826671373,2.103941421512741,True,0.4,True
53,2.410552846649345,2.0948359130544834,True,0.4,True
55,2.4679003465797225,2.074702793085476,True,0.4,True
57,2.4408905114234205,2.2488055983687065,True,0.4,True
59,2.464017146347783,2.1188264267628485,True,0.4,True
average,2.4285535460347116,2.1413388792586905,True,0.4,True
