Lists,Fan2,Fan4,Fan2greater,Drop,Training
2,2.78573035344333,1.63223327102923,True,0,False
4,1.88038408915675,1.70716619961437,True,0,False
6,1.45825072661515,1.64126087449964,False,0,False
8,1.61342779892659,1.53654594273469,True,0,False
10,1.69787278372025,1.59352749442844,True,0,False
12,1.97408976627366,1.55674461838331,True,0,False
14,1.83013876648161,1.99221616770303,False,0,False
16,1.96272792640304,1.52314813253011,True,0,False
18,1.69174616306872,1.41979108072048,True,0,False
20,1.81134951336161,1.41557694797256,True,0,False
22,2.57456612684305,1.57295903420238,True,0,False
24,2.40500631715333,1.80994012474866,True,0,False
26,1.48677903324838,1.82703698880822,False,0,False
28,1.13656438549832,2.02378585814661,False,0,False
30,2.31501887153065,1.507751518592,True,0,False
32,1.77911206245895,1.15039492103899,True,0,False
34,1.88835370979434,1.44227955463505,True,0,False
36,1.4716362863578,1.56179705700999,False,0,False
38,1.52659116441236,2.32526615126531,False,0,False
40,1.34070276426624,1.44745972617071,False,0,False
42,1.28917406720893,1.95622555853651,False,0,False
44,1.7578239314057,1.19446604951447,True,0,False
46,1.96056792113161,2.02016587668261,False,0,False
48,1.84363490129983,1.87116630379583,False,0,False
50,2.1757042079342,1.26140633772911,True,0,False
52,1.32094811015925,1.29417359582854,True,0,False
54,1.57004509311642,1.57726352448738,False,0,False
56,1.26303542005992,2.04461407595787,False,0,False
58,1.09344923446117,1.86089421882767,False,0,False
60,1.18956046090003,1.72333993829018,False,0,False
average,1.73646639855637,1.6496865714628,True,0,False
2,2.75983746718778,2.55797988778628,True,0,True
4,2.66686149335706,2.66316214461236,True,0,True
6,2.74229296105067,2.52196565355143,True,0,True
8,2.6750858412156,2.61304894088076,True,0,True
10,2.70038559175569,2.64709471641814,True,0,True
12,2.80631581373093,2.62326367180336,True,0,True
14,2.85593634917874,2.54303751158613,True,0,True
16,2.79092804843412,2.60569458712249,True,0,True
18,2.74293091043682,2.52007362673202,True,0,True
20,2.68895387832238,2.61141585660834,True,0,True
22,2.76979977346809,2.58343613609834,True,0,True
24,2.78882777470016,2.54745509066393,True,0,True
26,2.75388996493544,2.59441125075515,True,0,True
28,2.79097780810676,2.52302802369694,True,0,True
30,2.69785392084501,2.56101799285124,True,0,True
32,2.62396737465875,2.57596135092247,True,0,True
34,2.79049697183002,2.56288469012679,True,0,True
36,2.71137467481048,2.59193790642241,True,0,True
38,2.78007441992258,2.62673339814576,True,0,True
40,2.70018813860299,2.55833757963485,True,0,True
42,2.69433115031112,2.5517470159425,True,0,True
44,2.73583681722644,2.53800642252053,True,0,True
46,2.73310781390879,2.65710559401319,True,0,True
48,2.70667025769292,2.59600015696999,True,0,True
50,2.79025720452121,2.61223430136381,True,0,True
52,2.67202425255603,2.58149569409169,True,0,True
54,2.74781926027041,2.47783959244482,True,0,True
56,2.63640233492408,2.57493229693818,True,0,True
58,2.89364292826045,2.47112558095568,True,0,True
60,2.67050875364732,2.62132300820015,True,0,True
average,2.73725266499563,2.57712498932866,True,0,True
2,2.72198538005204,2.45263432747575,True,0.2,True
4,2.68958356099831,2.57952614312261,True,0.2,True
6,2.64022317783216,2.4421387100624,True,0.2,True
8,2.60038830761989,2.50376991916057,True,0.2,True
10,2.5715380622261,2.51329219817443,True,0.2,True
12,2.72628751184993,2.56465472640729,True,0.2,True
14,2.80972753845783,2.38597508378082,True,0.2,True
16,2.84967208914,2.46857034661737,True,0.2,True
18,2.62744520251802,2.4145474573047,True,0.2,True
20,2.65404334746153,2.53006285810094,True,0.2,True
22,2.77033337661683,2.52022282889159,True,0.2,True
24,2.81981288312165,2.45634189087361,True,0.2,True
26,2.72565649527753,2.43044538795296,True,0.2,True
28,2.70590951856699,2.39563010209364,True,0.2,True
30,2.61077940704444,2.45094133567499,True,0.2,True
32,2.5794800253966,2.49720325518213,True,0.2,True
34,2.76305472909325,2.40108846478036,True,0.2,True
36,2.72661692796903,2.4636161093205,True,0.2,True
38,2.74060071238712,2.59637223695684,True,0.2,True
40,2.59857408586276,2.47056254622611,True,0.2,True
42,2.51981314613491,2.46915517667199,True,0.2,True
44,2.72369452498317,2.40047681297028,True,0.2,True
46,2.73986845358088,2.49805903081459,True,0.2,True
48,2.59558165873098,2.46620225510635,True,0.2,True
50,2.7541977392619,2.52108654033827,True,0.2,True
52,2.73677754621727,2.4375829745824,True,0.2,True
54,2.56952643317178,2.37283707361181,True,0.2,True
56,2.59157695330531,2.44557149646985,True,0.2,True
58,2.83153234533119,2.29915939912537,True,0.2,True
60,2.6762652826178,2.51762378481437,True,0.2,True
average,2.68901821409424,2.46551168242216,True,0.2,True
2,2.31389054753359,1.93051986968035,True,0.4,True
4,2.20042079200432,2.10937412905165,True,0.4,True
6,2.15819263982438,1.96481724842624,True,0.4,True
8,2.12908642289236,1.9574735909332,True,0.4,True
10,2.13535786191474,2.01002051505883,True,0.4,True
12,2.23818929893437,2.08166727948825,True,0.4,True
14,2.39228956518081,1.87065017347852,True,0.4,True
16,2.39269845071566,1.9975219168732,True,0.4,True
18,2.15175749712049,1.92692879125464,True,0.4,True
20,2.12987832981479,2.04684208219335,True,0.4,True
22,2.3159664099835,2.01645292191657,True,0.4,True
24,2.38470723852833,1.99404616837591,True,0.4,True
26,2.3229130952806,1.92577606173123,True,0.4,True
28,2.21700619576661,1.92579415998215,True,0.4,True
30,2.12287823877537,1.91857939277739,True,0.4,True
32,2.10685161150301,1.97934251006836,True,0.4,True
34,2.30487366665162,1.94032952228568,True,0.4,True
36,2.2587213713203,1.93377281560803,True,0.4,True
38,2.28953637425562,2.1438648371339,True,0.4,True
40,2.17844453330159,1.97263211945467,True,0.4,True
42,2.05426396656866,1.96799769671951,True,0.4,True
44,2.31612989707188,1.90783032406473,True,0.4,True
46,2.30465737597675,2.01347684992484,True,0.4,True
48,2.20988864353011,1.96800074235412,True,0.4,True
50,2.36973687797171,2.00032110767233,True,0.4,True
52,2.29659339525899,1.89785283409415,True,0.4,True
54,2.08211106747163,1.84228620265381,True,0.4,True
56,2.02469781421753,1.9593898003618,True,0.4,True
58,2.3441224596883,1.75469717403105,True,0.4,True
60,2.20963980026938,2.01437753143863,True,0.4,True
average,2.23185004797757,1.96575454563624,True,0.4,True
